booking_id,hotel_id,room_id,created_at,checkin_date,checkout_date,lead_time_days,length_of_stay,num_guests,channel,cancellation_policy,price_per_night,total_price,refundable,is_cancelled,cancel_date,weather_score,events_nearby_level,competitor_price_index,holiday_flag,created_dow,checkin_dow
B000001,H011,H011-R026,04/07/2025,27/07/2025,02/08/2025,23,6,4,Direct,Flexible,109.27,655.62,1,0,,0.613,1,1.062,0,Friday,Sunday
B000002,H004,H004-R042,01/01/2024,08/03/2024,14/03/2024,67,6,4,Direct,Flexible,68.61,411.66,1,1,25/01/2024,0.314,2,0.985,0,Monday,Friday
B000003,H011,H011-R009,29/11/2024,06/12/2024,11/12/2024,7,5,3,OTA-Expedia,Flexible,73.42,367.1,1,0,,0.369,0,1.171,0,Friday,Friday
B000004,H010,H010-R004,03/01/2024,25/02/2024,01/03/2024,53,5,2,OTA-Booking,NRF,53.79,268.95,0,0,,0.58,0,0.934,0,Wednesday,Sunday
B000005,H004,H004-R039,18/03/2025,04/04/2025,12/04/2025,17,8,2,Direct,Flexible,92.04,736.32,1,0,,0.494,0,1.009,0,Tuesday,Friday
B000006,H009,H009-R001,24/07/2025,29/08/2025,07/09/2025,36,9,4,Direct,Flexible,95.29,857.61,1,0,,0.309,1,1.051,0,Thursday,Friday
B000007,H009,H009-R023,02/01/2024,28/01/2024,30/01/2024,26,2,2,OTA-Booking,Flexible,58.71,117.42,1,0,,0.383,0,0.865,0,Tuesday,Sunday
B000008,H005,H005-R002,05/01/2024,07/03/2024,13/03/2024,62,6,3,Phone,NRF,64.75,388.5,0,0,,0.412,0,1.069,0,Friday,Thursday
B000009,H013,H013-R066,21/03/2025,22/08/2025,23/08/2025,154,1,2,Direct,Flexible,128.21,128.21,1,0,,0.632,0,0.966,0,Friday,Friday
B000010,H005,H005-R009,08/03/2024,02/08/2024,07/08/2024,147,5,2,Direct,Semi-Flex,87.97,439.85,1,1,18/07/2024,0.361,0,0.969,0,Friday,Friday
