hotel_id,date,occupied_rooms,capacity_rooms,occupancy_rate,dow,holiday_flag
H001,01/01/2024,1,26,0.0385,Monday,1
H001,02/01/2024,2,26,0.0769,Tuesday,0
H001,03/01/2024,3,26,0.1154,Wednesday,0
H001,04/01/2024,3,26,0.1154,Thursday,0
H001,05/01/2024,3,26,0.1154,Friday,0
H001,06/01/2024,5,26,0.1923,Saturday,1
H001,07/01/2024,4,26,0.1538,Sunday,0
H001,08/01/2024,4,26,0.1538,Monday,0
H001,09/01/2024,6,26,0.2308,Tuesday,0
H001,10/01/2024,6,26,0.2308,Wednesday,0
H001,11/01/2024,8,26,0.3077,Thursday,0
H001,12/01/2024,11,26,0.4231,Friday,0
H001,13/01/2024,9,26,0.3462,Saturday,0
H001,14/01/2024,8,26,0.3077,Sunday,0
H001,15/01/2024,8,26,0.3077,Monday,0
H001,16/01/2024,8,26,0.3077,Tuesday,0
H001,17/01/2024,10,26,0.3846,Wednesday,0
H001,18/01/2024,8,26,0.3077,Thursday,0
H001,19/01/2024,11,26,0.4231,Friday,0
H001,20/01/2024,7,26,0.2692,Saturday,0
H001,21/01/2024,7,26,0.2692,Sunday,0
H001,22/01/2024,8,26,0.3077,Monday,0
H001,23/01/2024,6,26,0.2308,Tuesday,0
H001,24/01/2024,6,26,0.2308,Wednesday,0
H001,25/01/2024,5,26,0.1923,Thursday,0
H001,26/01/2024,4,26,0.1538,Friday,0
H001,27/01/2024,4,26,0.1538,Saturday,0
H001,28/01/2024,7,26,0.2692,Sunday,0
H001,29/01/2024,4,26,0.1538,Monday,0
H001,30/01/2024,5,26,0.1923,Tuesday,0
H001,31/01/2024,3,26,0.1154,Wednesday,0
H001,01/02/2024,5,26,0.1923,Thursday,0
H001,02/02/2024,4,26,0.1538,Friday,0
H001,03/02/2024,4,26,0.1538,Saturday,0
H001,04/02/2024,4,26,0.1538,Sunday,0
H001,05/02/2024,5,26,0.1923,Monday,0
H001,06/02/2024,5,26,0.1923,Tuesday,0
H001,07/02/2024,7,26,0.2692,Wednesday,0
H001,08/02/2024,7,26,0.2692,Thursday,0
H001,09/02/2024,7,26,0.2692,Friday,0
H001,10/02/2024,8,26,0.3077,Saturday,0
H001,11/02/2024,7,26,0.2692,Sunday,0
H001,12/02/2024,8,26,0.3077,Monday,0
H001,13/02/2024,5,26,0.1923,Tuesday,0
H001,14/02/2024,5,26,0.1923,Wednesday,0
H001,15/02/2024,4,26,0.1538,Thursday,0
H001,16/02/2024,4,26,0.1538,Friday,0
H001,17/02/2024,4,26,0.1538,Saturday,0
H001,18/02/2024,3,26,0.1154,Sunday,0
H001,19/02/2024,4,26,0.1538,Monday,0
H001,20/02/2024,4,26,0.1538,Tuesday,0
H001,21/02/2024,4,26,0.1538,Wednesday,0
H001,22/02/2024,6,26,0.2308,Thursday,0
H001,23/02/2024,7,26,0.2692,Friday,0
H001,24/02/2024,5,26,0.1923,Saturday,0
H001,25/02/2024,4,26,0.1538,Sunday,0
H001,26/02/2024,5,26,0.1923,Monday,0
H001,27/02/2024,5,26,0.1923,Tuesday,0
H001,28/02/2024,4,26,0.1538,Wednesday,0
H001,29/02/2024,4,26,0.1538,Thursday,0
H001,01/03/2024,4,26,0.1538,Friday,0
H001,02/03/2024,3,26,0.1154,Saturday,0
H001,03/03/2024,3,26,0.1154,Sunday,0
H001,04/03/2024,3,26,0.1154,Monday,0
H001,05/03/2024,2,26,0.0769,Tuesday,0
H001,06/03/2024,5,26,0.1923,Wednesday,0
H001,07/03/2024,2,26,0.0769,Thursday,0
H001,08/03/2024,3,26,0.1154,Friday,0
H001,09/03/2024,3,26,0.1154,Saturday,0
H001,10/03/2024,5,26,0.1923,Sunday,0
H001,11/03/2024,4,26,0.1538,Monday,0
H001,12/03/2024,4,26,0.1538,Tuesday,0
H001,13/03/2024,4,26,0.1538,Wednesday,0
H001,14/03/2024,6,26,0.2308,Thursday,0
H001,15/03/2024,6,26,0.2308,Friday,0
H001,16/03/2024,8,26,0.3077,Saturday,0
H001,17/03/2024,10,26,0.3846,Sunday,0
H001,18/03/2024,8,26,0.3077,Monday,0
H001,19/03/2024,8,26,0.3077,Tuesday,0
H001,20/03/2024,11,26,0.4231,Wednesday,0
H001,21/03/2024,9,26,0.3462,Thursday,0
H001,22/03/2024,9,26,0.3462,Friday,0
H001,23/03/2024,6,26,0.2308,Saturday,0
H001,24/03/2024,6,26,0.2308,Sunday,0
H001,25/03/2024,7,26,0.2692,Monday,1
H001,26/03/2024,11,26,0.4231,Tuesday,0
H001,27/03/2024,12,26,0.4615,Wednesday,0
H001,28/03/2024,8,26,0.3077,Thursday,0
H001,29/03/2024,8,26,0.3077,Friday,0
H001,30/03/2024,7,26,0.2692,Saturday,0
H001,31/03/2024,8,26,0.3077,Sunday,0
H001,01/04/2024,9,26,0.3462,Monday,0
H001,02/04/2024,7,26,0.2692,Tuesday,0
H001,03/04/2024,7,26,0.2692,Wednesday,0
H001,04/04/2024,6,26,0.2308,Thursday,0
H001,05/04/2024,7,26,0.2692,Friday,0
H001,06/04/2024,6,26,0.2308,Saturday,0
H001,07/04/2024,3,26,0.1154,Sunday,0
H001,08/04/2024,5,26,0.1923,Monday,0
H001,09/04/2024,4,26,0.1538,Tuesday,0
H001,10/04/2024,3,26,0.1154,Wednesday,0
H001,11/04/2024,2,26,0.0769,Thursday,0
H001,12/04/2024,2,26,0.0769,Friday,0
H001,13/04/2024,2,26,0.0769,Saturday,0
H001,14/04/2024,4,26,0.1538,Sunday,0
H001,15/04/2024,5,26,0.1923,Monday,0
H001,16/04/2024,5,26,0.1923,Tuesday,0
H001,17/04/2024,3,26,0.1154,Wednesday,0
H001,18/04/2024,6,26,0.2308,Thursday,0
H001,19/04/2024,7,26,0.2692,Friday,0
H001,20/04/2024,8,26,0.3077,Saturday,0
H001,21/04/2024,11,26,0.4231,Sunday,0
H001,22/04/2024,12,26,0.4615,Monday,0
H001,23/04/2024,12,26,0.4615,Tuesday,0
H001,24/04/2024,11,26,0.4231,Wednesday,0
H001,25/04/2024,11,26,0.4231,Thursday,0
H001,26/04/2024,9,26,0.3462,Friday,0
H001,27/04/2024,8,26,0.3077,Saturday,0
H001,28/04/2024,5,26,0.1923,Sunday,0
H001,29/04/2024,2,26,0.0769,Monday,0
H001,30/04/2024,2,26,0.0769,Tuesday,0
H001,01/05/2024,1,26,0.0385,Wednesday,1
H001,02/05/2024,3,26,0.1154,Thursday,0
H001,03/05/2024,4,26,0.1538,Friday,0
H001,04/05/2024,5,26,0.1923,Saturday,0
H001,05/05/2024,6,26,0.2308,Sunday,0
H001,06/05/2024,9,26,0.3462,Monday,0
H001,07/05/2024,8,26,0.3077,Tuesday,0
H001,08/05/2024,7,26,0.2692,Wednesday,0
H001,09/05/2024,5,26,0.1923,Thursday,0
H001,10/05/2024,5,26,0.1923,Friday,0
H001,11/05/2024,4,26,0.1538,Saturday,0
H001,12/05/2024,7,26,0.2692,Sunday,0
H001,13/05/2024,5,26,0.1923,Monday,0
H001,14/05/2024,6,26,0.2308,Tuesday,0
H001,15/05/2024,5,26,0.1923,Wednesday,0
H001,16/05/2024,5,26,0.1923,Thursday,0
H001,17/05/2024,4,26,0.1538,Friday,0
H001,18/05/2024,6,26,0.2308,Saturday,0
H001,19/05/2024,6,26,0.2308,Sunday,0
H001,20/05/2024,5,26,0.1923,Monday,0
H001,21/05/2024,5,26,0.1923,Tuesday,0
H001,22/05/2024,7,26,0.2692,Wednesday,0
H001,23/05/2024,6,26,0.2308,Thursday,0
H001,24/05/2024,5,26,0.1923,Friday,0
H001,25/05/2024,6,26,0.2308,Saturday,0
H001,26/05/2024,7,26,0.2692,Sunday,0
H001,27/05/2024,7,26,0.2692,Monday,0
H001,28/05/2024,10,26,0.3846,Tuesday,0
H001,29/05/2024,7,26,0.2692,Wednesday,0
H001,30/05/2024,7,26,0.2692,Thursday,0
H001,31/05/2024,7,26,0.2692,Friday,0
H001,01/06/2024,4,26,0.1538,Saturday,0
H001,02/06/2024,5,26,0.1923,Sunday,0
H001,03/06/2024,5,26,0.1923,Monday,0
H001,04/06/2024,6,26,0.2308,Tuesday,0
H001,05/06/2024,6,26,0.2308,Wednesday,0
H001,06/06/2024,5,26,0.1923,Thursday,0
H001,07/06/2024,3,26,0.1154,Friday,0
H001,08/06/2024,4,26,0.1538,Saturday,0
H001,09/06/2024,5,26,0.1923,Sunday,0
H001,10/06/2024,4,26,0.1538,Monday,0
H001,11/06/2024,4,26,0.1538,Tuesday,0
H001,12/06/2024,3,26,0.1154,Wednesday,0
H001,13/06/2024,4,26,0.1538,Thursday,0
H001,14/06/2024,3,26,0.1154,Friday,0
H001,15/06/2024,4,26,0.1538,Saturday,0
H001,16/06/2024,5,26,0.1923,Sunday,0
H001,17/06/2024,3,26,0.1154,Monday,0
H001,18/06/2024,3,26,0.1154,Tuesday,0
